,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time,Distance
AU_60112,Australia,60112,GLOUCESTER (HIAWATHA),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor60112_999999998752763.txt,-32.0525,151.9147,125m,285358,35.0,5min,mm,,-999.0,0.0, Changed LST,125.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_60112.txt,21,mm,AU_60112,1982121103,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1982-12-10 17:00:00+00:00,75843.85116918977
AU_60030,Australia,60030,TAREE (PATANGA CL),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor60030_999999998752763.txt,-31.8908,152.4709,14m,358982,8.64,5min,mm,,-999.0,0.0, Changed LST,14.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_60030.txt,21,mm,AU_60030,1964061811,2005060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2005-05-31 14:00:00+00:00,1964-06-18 01:00:00+00:00,102095.83898110829
AU_61151,Australia,61151,CHICHESTER DAM,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61151_999999998752763.txt,-32.2426,151.683,194m,482966,11.98,5min,mm,,-999.0,0.0, Changed LST,194.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61151.txt,21,mm,AU_61151,1960062611,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-07-31 14:00:00+00:00,1960-06-26 01:00:00+00:00,62886.61921428446
AU_61158,Australia,61158,GLENDON BROOK (LILYVALE),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61158_999999998752763.txt,-32.5067,151.3779,60m,448911,9.61,5min,mm,,-999.0,0.0, Changed LST,60.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61158.txt,21,mm,AU_61158,1964041410,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1964-04-14 00:00:00+00:00,65586.99695784495
AU_61379,Australia,61379,WILLIAMTOWN COMPARISON AWS,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61379_999999998752763.txt,-32.8081,151.8419,4.9m,11456,6.06,5min,mm,,-999.0,0.02, Changed LST,4.9,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61379.txt,21,mm,AU_61379,1998061017,1999100100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1999-09-30 14:00:00+00:00,1998-06-10 07:00:00+00:00,19218.145903481058
AU_061260,Australia,61260,CESSNOCK AIRPORT AWS,B:/INTENSE data/Original data/Australia/AWS 1min_NSW.zip/HD01D_Data_061260_999999998747787.txt,-32.7886,151.3377,61.0m,43052,10.62,1min,mm,,-999.0,0.2, Changed CET,61.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_061260.txt,21,mm,AU_061260,2010092114,2015082009,CET,1hr,0 days 10:00:00,Australia/Sydney,2015-08-19 23:00:00+00:00,2010-09-21 04:00:00+00:00,64731.16215339424
AU_060141,Australia,60141,TAREE AIRPORT AWS,B:/INTENSE data/Original data/Australia/AWS 1min_NSW.zip/HD01D_Data_060141_999999998747787.txt,-31.8896,152.512,8.0m,41828,9.04,1min,mm,,-999.0,0.2, Changed CET,8.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_060141.txt,21,mm,AU_060141,2010111114,2015082009,CET,1hr,0 days 10:00:00,Australia/Sydney,2015-08-19 23:00:00+00:00,2010-11-11 04:00:00+00:00,103867.22080702012
AU_061425,Australia,61425,GOSFORD AWS,B:/INTENSE data/Original data/Australia/AWS 1min_NSW.zip/HD01D_Data_061425_999999998747787.txt,-33.4351,151.3614,7.0m,19392,0.53,1min,mm,,-999.0,0.2, Changed CET,7.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_061425.txt,21,mm,AU_061425,2013060310,2015082009,CET,1hr,0 days 10:00:00,Australia/Sydney,2015-08-19 23:00:00+00:00,2013-06-03 00:00:00+00:00,99768.9472042627
AU_061250,Australia,61250,PATERSON (TOCAL AWS),B:/INTENSE data/Original data/Australia/AWS 1min_NSW.zip/HD01D_Data_061250_999999998747787.txt,-32.6296,151.5919,30.0m,32277,4.68,1min,mm,,-999.0,0.2, Changed CET,30.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_061250.txt,21,mm,AU_061250,2011121413,2015082009,CET,1hr,0 days 10:00:00,Australia/Sydney,2015-08-19 23:00:00+00:00,2011-12-14 03:00:00+00:00,42118.461692374636
AU_061078,Australia,61078,WILLIAMTOWN RAAF,B:/INTENSE data/Original data/Australia/AWS 1min_NSW.zip/HD01D_Data_061078_999999998747787.txt,-32.7932,151.8359,9.0m,140320,59.73,1min,mm,,-999.0,0.2, Changed CET,9.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_061078.txt,21,mm,AU_061078,1999081718,2015082009,CET,1hr,0 days 10:00:00,Australia/Sydney,2015-08-19 23:00:00+00:00,1999-08-17 08:00:00+00:00,19055.201929933424
AU_061087,Australia,61087,GOSFORD (NARARA RESEARCH STATION) AWS,B:/INTENSE data/Original data/Australia/AWS 1min_NSW.zip/HD01D_Data_061087_999999998747787.txt,-33.3949,151.3289,20.0m,16509,15.62,1min,mm,,-999.0,0.2, Changed CET,20.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_061087.txt,21,mm,AU_061087,2011071213,2013053009,CET,1hr,0 days 10:00:00,Australia/Sydney,2013-05-29 23:00:00+00:00,2011-07-12 03:00:00+00:00,98303.2450390707
AU_061375,Australia,61375,MANGROVE MOUNTAIN AWS,B:/INTENSE data/Original data/Australia/AWS 1min_NSW.zip/HD01D_Data_061375_999999998747787.txt,-33.2894,151.2107,305.0m,48285,2.18,1min,mm,,-999.0,0.2, Changed CET,305.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_061375.txt,21,mm,AU_061375,2010021513,2015082009,CET,1hr,0 days 10:00:00,Australia/Sydney,2015-08-19 23:00:00+00:00,2010-02-15 03:00:00+00:00,98176.463529676
AU_061412,Australia,61412,COORANBONG (LAKE MACQUARIE AWS),B:/INTENSE data/Original data/Australia/AWS 1min_NSW.zip/HD01D_Data_061412_999999998747787.txt,-33.0887,151.4636,6.0m,53135,3.46,1min,mm,,-999.0,0.2, Changed CET,6.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_061412.txt,21,mm,AU_061412,2009072811,2015082009,CET,1hr,0 days 10:00:00,Australia/Sydney,2015-08-19 23:00:00+00:00,2009-07-28 01:00:00+00:00,65883.629749637
AU_061366,Australia,61366,NORAH HEAD AWS,B:/INTENSE data/Original data/Australia/AWS 1min_NSW.zip/HD01D_Data_061366_999999998747787.txt,-33.2814,151.5766,18.8m,146465,39.06,1min,mm,,-999.0,0.2, Changed CET,18.8,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_061366.txt,21,mm,AU_061366,1998120417,2015082009,CET,1hr,0 days 10:00:00,Australia/Sydney,2015-08-19 23:00:00+00:00,1998-12-04 07:00:00+00:00,74130.85244612879
AU_061055,Australia,61055,NEWCASTLE NOBBYS SIGNAL STATION AWS,B:/INTENSE data/Original data/Australia/AWS 1min_NSW.zip/HD01D_Data_061055_999999998747787.txt,-32.9184,151.7985,33.0m,96946,29.45,1min,mm,,-999.0,0.2, Changed CET,33.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_061055.txt,21,mm,AU_061055,2004072900,2015082009,CET,1hr,0 days 10:00:00,Australia/Sydney,2015-08-19 23:00:00+00:00,2004-07-28 14:00:00+00:00,29772.02176008299
