,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time,Distance
AU_86380,Australia,86380,MELBOURNE REGIONAL OFFICE TBRG,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor86380_999999998752770.txt,-37.8167,144.9667,34.7m,1449,48.72,5min,mm,,-999.0,0.2, Changed LST,34.7,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_86380.txt,21,mm,AU_86380,1997060116,1997080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1997-07-31 14:00:00+00:00,1997-06-01 06:00:00+00:00,19078.71731724841
AU_90166,Australia,90166,WINCHELSEA SHIRE DEPOT,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor90166_999999998752770.txt,-38.2453,143.9764,90m,200693,26.72,5min,mm,,-999.0,0.0, Changed LST,90.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_90166.txt,21,mm,AU_90166,1974080820,1997070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1997-06-30 14:00:00+00:00,1974-08-08 10:00:00+00:00,80933.07257146518
AU_88158,Australia,88158,STRATH CREEK,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor88158_999999998752770.txt,-37.2714,145.2831,248m,210687,29.22,5min,mm,,-999.0,0.0, Changed LST,248.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_88158.txt,21,mm,AU_88158,1991081910,2015090100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-31 14:00:00+00:00,1991-08-19 00:00:00+00:00,79828.64068136629
AU_88037,Australia,88037,LAURISTON RESERVOIR,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor88037_999999998752770.txt,-37.2535,144.3825,487.6m,501717,12.58,5min,mm,,-999.0,0.0, Changed LST,487.6,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_88037.txt,21,mm,AU_88037,1958040604,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-06-30 14:00:00+00:00,1958-04-05 18:00:00+00:00,74481.56558363789
AU_87075,Australia,87075,BULLENGAROOK EAST,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor87075_999999998752770.txt,-37.4828,144.5094,512m,426882,17.51,5min,mm,,-999.0,0.0, Changed LST,512.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_87075.txt,21,mm,AU_87075,1966101907,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-06-30 14:00:00+00:00,1966-10-18 21:00:00+00:00,46698.348629645625
AU_87039,Australia,87039,MELTON,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor87039_999999998752770.txt,-37.6649,144.5748,156m,272821,7.28,5min,mm,,-999.0,0.0, Changed LST,156.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_87039.txt,21,mm,AU_87039,1984041612,2015060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-05-31 14:00:00+00:00,1984-04-16 02:00:00+00:00,26460.077116397813
AU_85277,Australia,85277,NOOJEE (SLIVAR),B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor85277_999999998752770.txt,-37.9039,145.9719,275m,295923,9.28,5min,mm,,-999.0,0.0, Changed LST,275.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_85277.txt,21,mm,AU_85277,1981102722,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-07-31 14:00:00+00:00,1981-10-27 12:00:00+00:00,107148.94953263883
AU_89111,Australia,89111,BALLARAT HOPETOUN RD,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor89111_999999998752770.txt,-37.5174,143.7791,441m,140974,6.68,5min,mm,,-999.0,0.0, Changed LST,441.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_89111.txt,21,mm,AU_89111,1999080203,2015090100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-31 14:00:00+00:00,1999-08-01 17:00:00+00:00,93934.40536925953
AU_90167,Australia,90167,WINCHELSEA (POST OFFICE),B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor90167_999999998752770.txt,-38.243,143.9887,85m,146406,13.34,5min,mm,,-999.0,0.0, Changed LST,85.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_90167.txt,21,mm,AU_90167,1998041919,2015010100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2014-12-31 14:00:00+00:00,1998-04-19 09:00:00+00:00,79886.0513114233
AU_85240,Australia,85240,ELLINBANK DAIRY RESEARCH INST,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor85240_999999998752770.txt,-38.2456,145.9347,167m,345198,15.92,5min,mm,,-999.0,0.0, Changed LST,167.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_85240.txt,21,mm,AU_85240,1961081519,2001010100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2000-12-31 14:00:00+00:00,1961-08-15 09:00:00+00:00,112200.82976166593
AU_86234,Australia,86234,CROYDON (DORSET GOLF COURSE),B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor86234_999999998752770.txt,-37.8054,145.2987,114m,441183,18.51,5min,mm,,-999.0,0.0, Changed LST,114.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_86234.txt,21,mm,AU_86234,1965040210,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-07-31 14:00:00+00:00,1965-04-02 00:00:00+00:00,48139.89372318309
AU_86351,Australia,86351,BUNDOORA (LATROBE UNIVERSITY),B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor86351_999999998752770.txt,-37.7163,145.0453,83m,276704,7.74,5min,mm,,-999.0,0.0, Changed LST,83.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_86351.txt,21,mm,AU_86351,1984010617,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-07-31 14:00:00+00:00,1984-01-06 07:00:00+00:00,29827.568996767994
AU_87183,Australia,87183,BULLENGAROOK (NORTH WEST),B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor87183_999999998752770.txt,-37.4729,144.4706,545m,25335,17.69,5min,mm,,-999.0,0.2, Changed LST,545.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_87183.txt,21,mm,AU_87183,2011031310,2014020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2014-01-31 14:00:00+00:00,2011-03-13 00:00:00+00:00,49327.953634934085
AU_87033,Australia,87033,LITTLE RIVER,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor87033_999999998752770.txt,-37.991,144.4943,20m,441399,13.56,5min,mm,,-999.0,0.0, Changed LST,20.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_87033.txt,21,mm,AU_87033,1965032410,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-07-31 14:00:00+00:00,1965-03-24 00:00:00+00:00,27464.33403729977
AU_88029,Australia,88029,HEATHCOTE,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor88029_999999998752770.txt,-36.9579,144.6935,294m,415239,17.5,5min,mm,,-999.0,0.0, Changed LST,294.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_88029.txt,21,mm,AU_88029,1968041810,2015090100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-31 14:00:00+00:00,1968-04-18 00:00:00+00:00,99749.33539330505
AU_86352,Australia,86352,BROADMEADOWS (GLENLITTA AVE NORTH EAST),B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor86352_999999998752770.txt,-37.6897,144.9478,109m,88125,95.95,5min,mm,,-999.0,0.2, Changed LST,109.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_86352.txt,21,mm,AU_86352,1998091204,2008100100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2008-09-30 14:00:00+00:00,1998-09-11 18:00:00+00:00,24997.479366123414
AU_086077,Australia,86077,MOORABBIN AIRPORT,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_086077_999999998747801.txt,-37.98,145.0962,12.1m,156340,23.43,1min,mm,,-999.0,0.2, Changed CET,12.1,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_086077.txt,21,mm,AU_086077,1997101906,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,1997-10-18 20:00:00+00:00,33000.78744907644
AU_086071,Australia,86071,MELBOURNE REGIONAL OFFICE,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_086071_999999998747801.txt,-37.8075,144.97,31.2m,150915,36.3,1min,mm,,-999.0,0.2, Changed CET,31.2,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_086071.txt,21,mm,AU_086071,1997101906,2015010608,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-01-05 22:00:00+00:00,1997-10-18 20:00:00+00:00,19614.278024067
AU_088162,Australia,88162,WALLAN (KILMORE GAP),B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_088162_999999998747801.txt,-37.3807,144.9654,527.8m,124170,40.61,1min,mm,,-999.0,0.2, Changed CET,527.8,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_088162.txt,21,mm,AU_088162,2001062016,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2001-06-20 06:00:00+00:00,55840.04360982274
AU_086068,Australia,86068,VIEWBANK,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_086068_999999998747801.txt,-37.7408,145.0972,66.1m,119941,39.64,1min,mm,,-999.0,0.2, Changed CET,66.1,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_086068.txt,21,mm,AU_086068,2001121321,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2001-12-13 11:00:00+00:00,32667.800282753677
AU_087168,Australia,87168,SHEOAKS,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_087168_999999998747801.txt,-37.9075,144.1303,236.7m,70768,4.27,1min,mm,,-999.0,0.2, Changed CET,236.7,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_087168.txt,21,mm,AU_087168,2007072418,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2007-07-24 08:00:00+00:00,55305.392213099534
AU_086361,Australia,86361,CERBERUS,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_086361_999999998747801.txt,-38.3646,145.1785,12.7m,118267,4.68,1min,mm,,-999.0,0.2, Changed CET,12.7,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_086361.txt,21,mm,AU_086361,2002022115,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2002-02-21 05:00:00+00:00,67616.72229341534
AU_087163,Australia,87163,GROVEDALE (GEELONG AIRPORT),B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_087163_999999998747801.txt,-38.2241,144.3345,33.4m,35572,15.21,1min,mm,,-999.0,0.2, Changed CET,33.4,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_087163.txt,21,mm,AU_087163,2007071913,2011080916,CET,1hr,0 days 10:00:00,Australia/Melbourne,2011-08-09 06:00:00+00:00,2007-07-19 03:00:00+00:00,55150.52761450413
AU_086338,Australia,86338,MELBOURNE (OLYMPIC PARK),B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_086338_999999998747801.txt,-37.8255,144.9816,7.5m,19457,6.16,1min,mm,,-999.0,0.2, Changed CET,7.5,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_086338.txt,21,mm,AU_086338,2013053117,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2013-05-31 07:00:00+00:00,20174.858174943874
AU_088051,Australia,88051,REDESDALE,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_088051_999999998747801.txt,-37.0194,144.5203,290.0m,70261,3.01,1min,mm,,-999.0,0.2, Changed CET,290.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_088051.txt,21,mm,AU_088051,2007081421,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2007-08-14 11:00:00+00:00,95079.38139022188
AU_090180,Australia,90180,AIREYS INLET,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_090180_999999998747801.txt,-38.4583,144.0883,95.0m,70868,7.45,1min,mm,,-999.0,0.2, Changed CET,95.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_090180.txt,21,mm,AU_090180,2007072014,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2007-07-20 04:00:00+00:00,88878.65777103485
AU_090035,Australia,90035,COLAC (MOUNT GELLIBRAND),B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_090035_999999998747801.txt,-38.2333,143.7925,261.0m,69956,8.58,1min,mm,,-999.0,0.2, Changed CET,261.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_090035.txt,21,mm,AU_090035,2007082714,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2007-08-27 04:00:00+00:00,94370.90884278351
AU_086383,Australia,86383,COLDSTREAM,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_086383_999999998747801.txt,-37.7239,145.4092,83.0m,71564,7.71,1min,mm,,-999.0,0.2, Changed CET,83.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_086383.txt,21,mm,AU_086383,2007062114,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2007-06-21 04:00:00+00:00,59397.92175659516
AU_086373,Australia,86373,RHYLL,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_086373_999999998747801.txt,-38.4612,145.3101,13.4m,69260,3.63,1min,mm,,-999.0,0.2, Changed CET,13.4,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_086373.txt,21,mm,AU_086373,2007092514,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2007-09-25 04:00:00+00:00,82980.42706320681
AU_086104,Australia,86104,SCORESBY RESEARCH INSTITUTE,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_086104_999999998747801.txt,-37.871,145.2561,80.0m,91075,16.54,1min,mm,,-999.0,0.2, Changed CET,80.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_086104.txt,21,mm,AU_086104,2005033015,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2005-03-30 05:00:00+00:00,44084.913422717116
AU_087031,Australia,87031,LAVERTON RAAF,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_087031_999999998747801.txt,-37.8565,144.7566,20.1m,120089,30.2,1min,mm,,-999.0,0.2, Changed CET,20.1,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_087031.txt,21,mm,AU_087031,2001120717,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2001-12-07 07:00:00+00:00,164.65523034606525
AU_087184,Australia,87184,BREAKWATER (GEELONG RACECOURSE),B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_087184_999999998747801.txt,-38.1737,144.3765,12.9m,36954,3.12,1min,mm,,-999.0,0.2, Changed CET,12.9,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_087184.txt,21,mm,AU_087184,2011060216,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2011-06-02 06:00:00+00:00,48545.75704177611
AU_087113,Australia,87113,AVALON AIRPORT,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_087113_999999998747801.txt,-38.0287,144.4783,10.6m,113524,45.52,1min,mm,,-999.0,0.2, Changed CET,10.6,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_087113.txt,21,mm,AU_087113,2002090706,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2002-09-06 20:00:00+00:00,31050.72401130797
AU_086372,Australia,86372,FERNY CREEK (DUNNS HILL),B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_086372_999999998747801.txt,-37.8775,145.3364,561.0m,120676,34.19,1min,mm,,-999.0,0.2, Changed CET,561.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_086372.txt,21,mm,AU_086372,1997101909,2011072612,CET,1hr,0 days 10:00:00,Australia/Melbourne,2011-07-26 02:00:00+00:00,1997-10-18 23:00:00+00:00,51173.57494783632
AU_086038,Australia,86038,ESSENDON AIRPORT,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_086038_999999998747801.txt,-37.7276,144.9066,78.4m,110040,36.08,1min,mm,,-999.0,0.2, Changed CET,78.4,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_086038.txt,21,mm,AU_086038,2003013010,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2003-01-30 00:00:00+00:00,19442.834473394825
AU_088109,Australia,88109,MANGALORE AIRPORT,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_088109_999999998747801.txt,-36.8886,145.1859,140.8m,69211,7.22,1min,mm,,-999.0,0.2, Changed CET,140.8,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_088109.txt,21,mm,AU_088109,2007092715,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2007-09-27 05:00:00+00:00,113860.34302888255
AU_086282,Australia,86282,MELBOURNE AIRPORT,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_086282_999999998747801.txt,-37.6655,144.8321,113.4m,156340,10.41,1min,mm,,-999.0,0.2, Changed CET,113.4,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_086282.txt,21,mm,AU_086282,1997101906,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,1997-10-18 20:00:00+00:00,22121.199064007607
AU_089002,Australia,89002,BALLARAT AERODROME,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_089002_999999998747801.txt,-37.5127,143.7911,435.2m,86682,15.08,1min,mm,,-999.0,0.2, Changed CET,435.2,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_089002.txt,21,mm,AU_089002,2005092916,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2005-09-29 06:00:00+00:00,93179.04452249863
AU_088164,Australia,88164,EILDON FIRE TOWER,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_088164_999999998747801.txt,-37.2091,145.8423,637.0m,70049,9.06,1min,mm,,-999.0,0.2, Changed CET,637.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_088164.txt,21,mm,AU_088164,2007082317,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2007-08-23 07:00:00+00:00,119878.44381238603
AU_086266,Australia,86266,FERNY CREEK,B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_086266_999999998747801.txt,-37.8748,145.3496,512.9m,38830,0.92,1min,mm,,-999.0,0.2, Changed CET,512.9,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_086266.txt,21,mm,AU_086266,2011031612,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2011-03-16 02:00:00+00:00,52321.43969489408
AU_085313,Australia,85313,NILMA NORTH (WARRAGUL),B:/INTENSE data/Original data/Australia/AWS 1min_VIC.zip/HD01D_Data_085313_999999998747801.txt,-38.1322,145.9867,134.1m,14088,0.43,1min,mm,,-999.0,0.2, Changed CET,134.1,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_085313.txt,21,mm,AU_085313,2014011010,2015082009,CET,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-19 23:00:00+00:00,2014-01-10 00:00:00+00:00,112429.96597374062
